Date,Open,High,Low,Close,Volume
1-Jan-2018,25565.75,25588,25271.55,25318.1,57576913.00
2-Jan-2018,25382.2,25425.5,25232.8,25338.25,72033811.00
3-Jan-2018,25425.75,25454.9,25300.9,25318.6,59730356.00
4-Jan-2018,25367.65,25490.35,25310.3,25462.6,105995860.00
5-Jan-2018,25524.45,25643.35,25499.55,25601.85,123622612.00
8-Jan-2018,25690.25,25771.5,25643.8,25676.1,127527935.00
9-Jan-2018,25727.95,25803.8,25617.25,25703.8,101820385.00
10-Jan-2018,25709.9,25717.6,25527.5,25617.3,81094270.00
11-Jan-2018,25628.2,25694.65,25532.25,25660.9,122695505.00
12-Jan-2018,25732.4,25775.15,25557.6,25749.05,110836433.00
15-Jan-2018,25858.15,26091.8,25842.95,26069.2,192163936.00
16-Jan-2018,26129.15,26136.4,25931.7,25974.9,169867241.00
17-Jan-2018,25946.15,26335.85,25922.3,26289.1,172092208.00
18-Jan-2018,26762.25,26887.65,26423.75,26537.4,224021671.00
19-Jan-2018,26615.65,26957.85,26433.55,26909.5,134390957.00
22-Jan-2018,26940.5,27074.9,26841.2,27041.2,113869602.00
23-Jan-2018,27089.95,27422.05,27066.15,27390.6,169332288.00
24-Jan-2018,27310.15,27479.25,27219.45,27398.55,174331160.00
25-Jan-2018,27414.1,27522.85,27151.75,27445.65,193342305.00
29-Jan-2018,27446.1,27652.05,27407.4,27498.45,114099251.00
30-Jan-2018,27466.85,27470.25,27242.05,27269.05,111009534.00
31-Jan-2018,27136.25,27455.75,27116.95,27379.45,109507598.00
1-Feb-2018,27334.85,27613.5,27046.35,27220.7,131188028.00
2-Feb-2018,27017.4,27017.55,26364.05,26451.15,147521488.00
5-Feb-2018,25968.15,26215.1,25917.55,26098.75,122729724.00
6-Feb-2018,25140.1,26140.6,25023.85,25811.3,153713739.00
7-Feb-2018,26065.4,26078.4,25558.05,25670,121038215.00
8-Feb-2018,25759.85,26126.4,25637.4,25920.65,91011548.00
9-Feb-2018,25466.3,25598.3,25371,25463.65,75985052.00
12-Feb-2018,25530.1,25757.85,25485.4,25701.6,161180184.00
14-Feb-2018,25810.25,25810.25,25212.35,25341.25,197286979.00
15-Feb-2018,25360.9,25615.15,25295.15,25424.35,291475391.00
16-Feb-2018,25511.95,25601,25100.9,25163.9,278142760.00
19-Feb-2018,25324.6,25326.05,24824.55,25058.55,273464127.00
20-Feb-2018,25105.55,25158.1,24829,24874.4,258222746.00
21-Feb-2018,24996.6,24999.7,24796.35,24936.7,152405865.00
22-Feb-2018,24812.7,24987.05,24781.7,24955.2,167442673.00
23-Feb-2018,25002.25,25345.15,24962.85,25302.5,127862871.00
